IdSucursal;NroRemito;ItemRemito;IDCodProd;Cantidad;UnidadMedida
5;100;1;110;2;C/U
5;100;2;180;1;C/U
5;101;1;1004X4;2;C/U
5;102;1;48V574A;1;C/U
5;103;1;110;2;C/U
5;103;2;180;2;C/U
5;104;1;100SP;1;C/U
5;105;1;110;8;C/U
5;105;2;1004X4;2;C/U
5;105;3;65;11;C/U
5;105;4;75;6;C/U
5;105;5;240;1;C/U
5;106;1;180;7;C/U
5;107;1;180;2;C/U
5;108;1;180;1;C/U
5;109;1;45FKA;10;C/U
5;109;2;ON45;3;C/U
5;109;3;ON65;10;C/U
5;109;4;65;30;C/U
5;109;5;ON75;10;C/U
5;109;6;75;30;C/U
5;109;7;90;4;C/U
5;109;8;110;6;C/U
5;109;9;1004X4;4;C/U
5;109;10;100SP;7;C/U
5;109;11;180;8;C/U
5;110;1;45FKA;1;C/U
5;110;2;75;2;C/U
5;111;1;180;4;C/U
5;112;1;110;2;C/U
5;112;2;180;2;C/U
5;113;1;180;6;C/U
5;114;1;180;2;C/U
5;115;1;BT 24/240;1;C/U
5;116;1;75;30;C/U
5;116;2;110;30;C/U
5;116;3;180;30;C/U
5;117;1;180;7;C/U
5;118;1;180;2;C/U
5;119;1;180;1;C/U
5;120;1;110;6;C/U
5;121;1;180;4;C/U
5;122;1;180;12;C/U
5;122;2;65;5;C/U
5;122;3;75;2;C/U
5;123;1;110;4;C/U
5;124;1;110;2;C/U
5;125;1;75;10;C/U
5;127;1;180;20;C/U
5;128;1;180;10;C/U
5;129;1;180;12;C/U
5;130;1;180;7;C/U
5;131;1;180;2;C/U
5;132;1;180;1;C/U
5;133;1;45FKA;2;C/U
5;133;2;65;2;C/U
5;133;3;180;3;C/U
5;134;1;110;3;C/U
5;134;2;100SP;1;C/U
5;134;3;75;2;C/U
5;135;1;90;2;C/U
5;135;2;180;14;C/U
5;135;3;100SP;1;C/U
5;135;4;45FKA;1;C/U
5;135;5;65;7;C/U
5;135;6;75;1;C/U
5;136;1;180;25;C/U
5;137;1;180;6;C/U
5;138;1;180;4;C/U
5;139;1;180;8;C/U
5;140;1;110;2;C/U
5;141;1;65;30;C/U
5;141;2;75;30;C/U
5;141;3;110;30;C/U
5;142;1;65;4;C/U
5;142;2;75;4;C/U
5;143;1;180;30;C/U
5;143;2;240;4;C/U
5;144;1;180;2;C/U
5;144;2;110;2;C/U
5;144;3;75;3;C/U
5;144;4;65;3;C/U
5;145;1;180;40;C/U
5;145;2;240;4;C/U
5;145;3;90;4;C/U
5;145;4;110;4;C/U
5;145;5;100SP;4;C/U
5;145;6;1004X4;4;C/U
5;145;7;45FKA;10;C/U
5;145;8;65;30;C/U
5;145;9;75;30;C/U
5;145;10;ON65;4;C/U
5;145;11;ON75;4;C/U
5;146;1;45FIT;5;C/U
5;147;1;180;7;C/U
5;148;1;180;2;C/U
5;149;1;180;1;C/U
5;150;1;45FKA;4;C/U
5;150;2;75;4;C/U
5;150;3;65;2;C/U
5;151;1;65;5;C/U
5;151;2;75;2;C/U
5;152;1;240;1;C/U
5;153;1;180;10;C/U
5;154;1;65;1;C/U
5;154;2;75;3;C/U
5;155;1;45FKA;4;C/U
5;155;2;75;4;C/U
5;156;1;180;7;C/U
5;157;1;180;2;C/U
5;158;1;180;1;C/U
5;159;1;BT 24/240;1;C/U
5;160;1;65;6;C/U
5;160;2;ON65;2;C/U
5;160;3;75;6;C/U
5;160;4;90;1;C/U
5;160;5;110;1;C/U
5;160;6;180;12;C/U
5;161;1;180;2;C/U
5;162;1;110;3;C/U
5;163;1;110;3;C/U
5;164;1;75;2;C/U
5;165;1;180;4;C/U
5;166;1;180;6;C/U
5;166;2;180I;4;C/U
5;167;1;110;2;C/U
5;168;1;180;15;C/U
5;169;1;45FKA;10;C/U
5;169;2;180I;5;C/U
5;169;3;240;4;C/U
5;169;4;1004X4;6;C/U
5;170;1;180;10;C/U
5;171;1;180;1;C/U
5;172;1;65;1;C/U
5;173;1;180;12;C/U
5;173;2;110;1;C/U
5;173;3;75;4;C/U
5;173;4;Q750;1;C/U
5;173;5;65;3;C/U
5;173;6;Q550;1;C/U
5;174;1;100SP;5;C/U
5;175;1;180;8;C/U
5;176;1;180;3;C/U
5;177;1;180;1;C/U
5;178;1;180;15;C/U
5;179;1;110;1;C/U
5;179;2;45FKA;1;C/U
5;179;3;65;3;C/U
5;180;1;75;2;C/U
5;181;1;110;6;C/U
5;181;2;65;2;C/U
5;181;3;90;1;C/U
5;182;1;110;1;C/U
5;183;1;180;2;C/U
5;184;1;110;2;C/U
5;185;1;110;2;C/U
5;186;1;110;2;C/U
5;187;1;45FIT;6;C/U
5;188;1;45FIT;6;C/U
5;189;1;110;4;C/U
5;191;1;180;2;C/U
5;192;1;180;1;C/U
5;193;1;180;5;C/U
5;194;1;180;10;C/U
5;195;1;110;4;C/U
5;196;1;180;6;C/U
5;197;1;75;1;C/U
5;198;1;45FKA;8;C/U
5;198;2;65;8;C/U
5;199;1;45FKA;17;C/U
5;199;2;ON65;5;C/U
5;199;3;65;30;C/U
5;199;4;ON75;5;C/U
5;199;5;75;30;C/U
5;199;6;90;3;C/U
5;199;7;110;4;C/U
5;199;8;1004X4;4;C/U
5;199;9;100SP;4;C/U
5;199;10;180;8;C/U
5;200;1;65;20;C/U
5;200;2;75;36;C/U
5;200;3;110;20;C/U
5;200;4;100SP;4;C/U
5;200;5;45CRV;2;C/U
5;200;6;45FIT;1;C/U
5;201;1;180;8;C/U
5;202;1;45FIT;4;C/U
5;203;1;45CRV;1;C/U
5;204;1;180;14;C/U
