NroNotaCredito;TipoNotaCredito;ItemNotaCredito;IDCodProd;Cantidad;PrecioUnitario;PorcentajeDescuento;TotalLinea;UnidadMedida;ImporteDescuento
136;A;1;180;1;6326.44;25;4744.83;C/U;1581.61
137;A;1;180;6;4177.15;0;25062.9;C/U;0.0
138;A;1;180;6;4177.15;0;25062.9;C/U;0.0
139;A;1;65;15;2272.72;20;27272.64;C/U;6818.16
139;A;2;75;5;2727.27;20;10909.08;C/U;2727.27
139;A;3;45FKA;4;2272.72;20;7272.7;C/U;1818.18
139;A;4;80T;1;3181.81;20;2545.45;C/U;636.36
139;A;5;90;1;4214.87;20;3371.9;C/U;842.97
139;A;6;1004X4;2;4214.87;20;6743.79;C/U;1685.95
139;A;7;100SP;2;4280.99;20;6849.58;C/U;1712.4
139;A;8;110C;2;4280.99;20;6849.58;C/U;1712.4
140;A;1;RES;20;500.0;0;10000.0;;0.0
141;A;1;45R12;1;2958.67;20;2366.94;C/U;591.73
142;A;1;75;30;1769.0;0;53070.0;C/U;0.0
142;A;2;65;30;1557.0;0;46710.0;C/U;0.0
142;A;3;110C;10;2993.0;0;29930.0;C/U;0.0
142;A;4;180;10;4528.0;0;45280.0;C/U;0.0
142;A;5;45FKA;5;1772.0;0;8860.0;C/U;0.0
143;A;1;PLOMO;27783;72.0;0;2000376.0;KG;0.0
144;A;1;PLOMO;27783;72.0;0;2000376.0;KG;0.0
145;A;1;Q750;1;2677.68;0;2677.68;C/U;0.0
145;A;2;NP7AB;1;661.15;0;661.15;C/U;0.0
146;A;1;75;1;2677.68;0;2677.68;C/U;0.0
146;A;2;NP7AB;1;661.15;0;661.15;C/U;0.0
147;A;1;Q660;1;2247.93;0;2247.93;C/U;0.0
148;A;1;65F;6;1289.25;0;7735.5;C/U;0.0
148;A;2;75F;6;1479.33;0;8875.98;C/U;0.0
149;A;1;65F;6;1289.25;0;7735.5;C/U;0.0
149;A;2;75F;6;1479.33;0;8875.98;C/U;0.0
150;A;1;PLOMO;73;8696.0;0;634808.0;KG;0.0
151;A;1;PLOMO;25912;78.0;0;2021136.0;KG;0.0
152;A;1;RES;25000;28.0;0;700000.0;;0.0
153;A;1;100SP;1;4280.99;30;2996.69;C/U;1284.3
154;A;1;65;6;2272.72;25;10227.24;C/U;3409.08
155;A;1;PLOMO;8245;77.0;0;634865.0;KG;0.0
156;A;1;45R12;2;2869.83;0;5739.66;C/U;0.0
157;A;1;80T;1;3780.99;25;2835.74;C/U;945.25
158;A;1;180;12;5108.4;0;61300.8;C/U;0.0
159;A;1;75;1;2591.73;0;2591.73;C/U;0.0
160;A;1;110C;1;5086.77;0;5086.77;C/U;0.0
160;A;2;65;4;2702.47;0;10809.88;C/U;0.0
160;A;3;75;5;3239.66;0;16198.3;C/U;0.0
161;A;1;75;1;2400.0;0;2400.0;C/U;0.0
162;A;1;110C;30;5086.77;20;122082.48;C/U;30520.62
162;A;2;180;10;7516.52;20;60132.16;C/U;15033.04
162;A;3;75;5;3239.66;20;12958.64;C/U;3239.66
163;A;1;180;1;6016.53;0;6016.53;C/U;0.0
164;A;1;RES;175;9.91;0;1734.25;;0.0
165;A;1;75;1;3239.66;20;2591.73;C/U;647.93
166;A;1;110C;1;5086.77;20;4069.42;C/U;1017.35
167;A;1;180;4;4872.22;0;19488.88;C/U;0.0
168;A;1;PLOMO;22821;80.0;0;1825680.0;KG;0.0
169;A;1;180;10;6317.35;0;63173.5;C/U;0.0
169;A;2;110C;4;4580.57;0;18322.28;C/U;0.0
169;A;3;65;4;2429.75;0;9719.0;C/U;0.0
170;A;1;45R12;1;2403.0;0;2403.0;C/U;0.0
170;A;2;65;5;1816.0;0;9080.0;C/U;0.0
170;A;3;75;5;2064.0;0;10320.0;c/u;0.0
170;A;4;80T;3;2851.0;0;8553.0;C/U;0.0
170;A;5;90;4;3200.0;0;12800.0;C/U;0.0
170;A;6;1004X4;8;3200.0;0;25600.0;C/U;0.0
170;A;7;100;5;3491.0;0;17455.0;C/U;0.0
170;A;8;100SP;5;3491.0;0;17455.0;C/U;0.0
170;A;9;120;5;3848.0;0;19240.0;C/U;0.0
170;A;10;180;7;5281.0;0;36967.0;C/U;0.0
171;A;1;45FKA;10;2232.0;0;22320.0;C/U;0.0
171;A;2;65;40;1961.1;0;78444.0;C/U;0.0
171;A;3;75;50;2228.4;0;111420.0;C/U;0.0
171;A;4;110C;15;3770.1;0;56551.5;C/U;0.0
171;A;5;180;25;5703.3;0;142582.5;C/U;0.0
171;A;6;240;4;7251.3;0;29005.2;C/U;0.0
171;A;7;1004X4;10;3456.9;0;34569.0;C/U;0.0
171;A;8;90;5;3456.9;0;17284.5;C/U;0.0
171;A;9;100SP;5;3770.1;0;18850.5;C/U;0.0
171;A;10;45FIT;2;2595.6;0;5191.2;C/U;0.0
172;A;1;75;1;3107.43;0;3107.43;C/U;0.0
172;A;2;65;1;2591.73;0;2591.73;C/U;0.0
173;A;1;180;100;9024.79;0;902479.0;C/U;0.0
173;A;2;110C;100;6107.43;0;610743.0;C/U;0.0
173;A;3;75;50;3884.29;0;194214.5;C/U;0.0
174;A;1;180;20;5832.0;0;116640.0;C/U;0.0
175;A;1;180;150;9024.79;0;1353718.5;C/U;0.0
175;A;2;110C;100;6107.43;0;610743.0;C/U;0.0
175;A;3;75;100;3884.29;0;388429.0;C/U;0.0
176;A;1;65;1;3239.66;5;3077.68;C/U;161.98
177;A;1;RES;10;826.44;0;8264.4;;0.0
177;A;2;RES;3;247.93;0;743.79;;0.0
178;A;1;180;4;9024.79;20;28879.33;C/U;7219.83
179;A;1;90;1;6008.26;30;4205.78;C/U;1802.48
179;A;2;110C;3;6107.43;30;12825.6;C/U;5496.69
179;A;3;1004X4;2;6008.26;30;8411.56;C/U;3604.96
180;A;1;110C;6;6107.43;20;29315.66;C/U;7328.92
180;A;2;180;4;9024.79;20;28879.33;C/U;7219.83
181;A;1;RES;8;619.83;0;4958.64;;0.0
181;A;2;RES;11;413.22;0;4545.42;;0.0
182;A;1;75;1;3418.18;0;3418.18;C/U;0.0
183;A;1;65;4;2849.58;0;11398.32;C/U;0.0
183;A;2;75;2;3418.18;0;6836.36;C/U;0.0
183;A;3;45FKA;2;2849.58;0;5699.16;C/U;0.0
184;A;1;75;1;4276.85;0;4276.85;C/U;0.0
185;A;1;90;1;6008.26;20;4806.61;C/U;1201.65
186;A;1;RES;24;1074.38;0;25785.12;;0.0
186;A;2;RES;19;619.83;0;11776.77;;0.0
187;A;1;180;4;5765.34;0;23061.36;C/U;0.0
188;A;1;RES;26300;50.0;0;1315000.0;;0.0
189;A;1;RES;9;413.22;0;3718.98;;0.0
189;A;2;RES;18;619.83;0;11156.94;;0.0
190;A;1;180;258;9024.79;0;2328395.82;C/U;0.0
191;A;1;1004X4;1;7537.19;35;4899.17;C/U;2638.02
192;A;1;75;20;2860.0;0;57200.0;C/U;0.0
192;A;2;100;15;4838.0;0;72570.0;C/U;0.0
192;A;3;180;12;7320.0;0;87840.0;C/U;0.0
193;A;1;75;1;4276.85;0;4276.85;C/U;0.0
194;A;1;RES;30000;49.0;0;1470000.0;;0.0
195;A;1;DEV;1;3739838.0;0;3739838.0;C/U;0.0
196;A;1;180;3;7687.12;0;23061.36;C/U;0.0
197;A;1;180;2;7687.12;0;15374.24;C/U;0.0
198;A;1;45FKA;1;4066.11;20;3252.89;C/U;813.22
198;A;2;65;1;4066.11;20;3252.89;C/U;813.22
199;A;1;110C;2;6512.39;0;13024.78;C/U;0.0
199;A;2;180;1;9619.83;0;9619.83;C/U;0.0
200;A;1;CON;105;5072.0;0;532560.0;KG;0.0
201;A;1;75;10;2913.22;0;29132.2;C/U;0.0
201;A;2;65;3;2429.75;0;7289.25;C/U;0.0
202;A;1;110C;1;7661.15;25;5745.86;C/U;1915.29
203;A;1;RES;30000;50.5;0;1515000.0;;0.0
204;A;1;DEV;1;2625004.76;0;2625004.76;C/U;0.0
205;A;1;65;1;4392.56;0;4392.56;C/U;0.0
206;A;1;DIFP;1;26366.95;0;26366.95;C/U;0.0
207;A;1;180;10;9500.0;0;95000.0;C/U;0.0
208;A;1;RES;10;1239.66;0;12396.6;;0.0
209;A;1;DEV;1;1895959.04;0;1895959.04;C/U;0.0
210;A;1;180;15;12219.0;0;183285.0;C/U;0.0
211;A;1;RES;7;1239.66;0;8677.62;;0.0
212;A;1;RES;6;1239.66;0;7437.96;;0.0
213;A;1;75;2;5785.12;20;9256.19;C/U;2314.05
213;A;2;65;3;4826.44;20;11583.46;C/U;2895.86
213;A;3;45FKA;1;4826.44;20;3861.15;C/U;965.29
213;A;4;6200;2;7636.36;20;12218.18;C/U;3054.54
214;A;1;90;1;8140.49;25;6105.37;C/U;2035.12
215;A;1;180;4;4300.0;0;17200.0;C/U;0.0
216;A;2;180;4;4300.0;0;17200.0;C/U;0.0
217;A;1;180;4;5765.34;0;23061.36;C/U;0.0
218;A;1;180;6;8248.18;0;49489.08;C/U;0.0
219;A;1;RES;8;1239.66;0;9917.28;;0.0
220;A;1;DEV;1;5238095.0;0;5238095.0;C/U;0.0
221;A;1;RES;8;1239.66;0;9917.28;;0.0
222;A;1;45FKA;2;3335.53;0;6671.06;C/U;0.0
222;A;2;65;5;3211.57;0;16057.85;C/U;0.0
222;A;3;75;10;3710.74;0;37107.4;C/U;0.0
222;A;4;110C;6;6398.34;0;38390.04;C/U;0.0
222;A;5;180;4;8690.9;0;34763.6;C/U;0.0
222;A;6;PER;1;-4396.36;0;-4396.36;C/U;0.0
223;A;1;45FKA;2;3335.53;0;6671.06;C/U;0.0
223;A;2;65;5;3211.57;0;16057.85;C/U;0.0
223;A;3;75;10;3710.74;0;37107.4;C/U;0.0
223;A;4;110C;6;6398.34;0;38390.04;C/U;0.0
223;A;5;180;4;8690.9;0;34763.6;C/U;0.0
224;A;1;75;2;5785.12;25;8677.68;C/U;2892.56
225;A;1;RES;10;1239.61;0;12396.1;;0.0
226;A;1;RES;6;1404.95;0;8429.7;;0.0
227;A;1;RES;21;413.22;0;8677.62;;0.0
227;A;2;RES;5;578.51;0;2892.55;;0.0
228;A;1;75;2;5785.12;20;9256.19;C/U;2314.05
228;A;2;65;3;4826.44;20;11583.46;C/U;2895.86
228;A;3;45FKA;1;4826.44;20;3861.15;C/U;965.29
228;A;4;6200;2;7636.36;20;12218.18;C/U;3054.54
229;A;1;110C;2;9099.17;0;18198.34;C/U;0.0
230;A;1;DEV;1;7076140.0;0;7076140.0;C/U;0.0
231;A;1;RES;7;1404.95;0;9834.65;;0.0
232;A;1;RES;3;1404.95;0;4214.85;;0.0
233;A;1;65;5;3378.51;0;16892.55;C/U;0.0
233;A;2;75;5;4049.58;0;20247.9;C/U;0.0
234;A;1;RES;9;1404.95;0;12644.55;;0.0
235;A;1;180;10;10505.0;0;105050.0;C/U;0.0
