IdSucursal;NroRemito;FechaRemito;CodCliente;UnidadNegocio;CodVendedor;NroFactura;TipoFactura;Item;AclaracionRemito
5;18362;2018-01-18 00:00:00;1209;;300;2085;A;1;
5;18363;2018-01-19 00:00:00;930;;300;2089;A;1;
5;18364;2018-01-19 00:00:00;523;;300;2088;A;1;
5;18365;2018-01-23 00:00:00;2094;;300;53;B;1;
5;18366;2018-01-24 00:00:00;680;;300;2096;A;1;
5;18367;2018-01-24 00:00:00;327;;300;2097;A;1;
5;18368;2018-01-25 00:00:00;1209;;300;2103;A;1;
5;18369;2018-01-29 00:00:00;2078;;300;2111;A;1;
5;18370;2018-01-29 00:00:00;130;;300;2112;A;1;
5;18371;2018-01-29 00:00:00;362;;300;2113;A;1;
5;18372;2018-02-16 00:00:00;2078;;300;2145;A;1;
5;18373;2018-02-16 00:00:00;1209;;300;2147;A;1;
5;18374;2018-02-19 00:00:00;2124;;300;2152;A;1;
5;18375;2018-02-21 00:00:00;327;;300;2153;A;1;
5;18376;2018-02-21 00:00:00;680;;300;2154;A;1;
5;18378;2018-02-22 00:00:00;1209;;300;2158;A;1;
5;18380;2018-02-23 00:00:00;523;;300;2160;A;1;
5;18381;2018-02-27 00:00:00;2124;;300;2164;A;1;
5;18382;2018-02-28 00:00:00;327;;300;2170;A;1;
5;18383;2018-03-01 00:00:00;1209;;300;2173;A;1;
5;18384;2018-03-05 00:00:00;997;;300;2185;A;1;
5;18385;2018-03-05 00:00:00;921;;300;2184;A;1;
5;18386;2018-03-05 00:00:00;921;;300;2183;A;1;
5;18387;2018-03-08 00:00:00;1209;;300;2195;A;1;
5;18388;2018-03-09 00:00:00;754;;300;2203;A;1;
5;18389;2018-03-09 00:00:00;930;;300;2204;A;1;
5;18390;2018-03-14 00:00:00;680;;300;2220;A;1;
5;18391;2018-03-15 00:00:00;1209;;300;2228;A;1;
5;18392;2018-03-16 00:00:00;1069;;300;2235;A;1;
5;18393;2018-03-19 00:00:00;362;;300;2240;A;1;
5;18394;2018-03-22 00:00:00;327;;300;2251;A;1;
5;18395;2018-03-22 00:00:00;2124;;300;2252;A;1;
5;18396;2018-03-23 00:00:00;684;;300;2256;A;1;
5;18397;2018-03-23 00:00:00;1209;;300;2257;A;1;
5;18398;2018-03-28 00:00:00;130;;300;2271;A;1;
5;18399;2018-03-29 00:00:00;680;;300;2275;A;1;
5;18401;2018-01-25 00:00:00;611;;200;2104;A;1;
5;18402;2018-01-25 00:00:00;1055;;200;2101;A;1;
5;18403;2018-01-29 00:00:00;352;;200;2110;A;1;
5;18404;2018-02-01 00:00:00;277;;200;2121;A;1;
5;18405;2018-02-01 00:00:00;816;;200;2122;A;1;
5;18407;2018-02-08 00:00:00;352;;200;2135;A;1;
5;18409;2018-02-14 00:00:00;1055;;200;2139;A;1;
5;18410;2018-02-16 00:00:00;352;;200;2146;A;1;
5;18411;2018-02-26 00:00:00;2217;;200;2162;A;1;
5;18412;2018-03-01 00:00:00;352;;200;2174;A;1;
5;18413;2018-03-01 00:00:00;816;;200;2175;A;1;
5;18414;2018-03-06 00:00:00;48;;200;57;B;1;
5;18415;2018-03-09 00:00:00;32;;200;2201;A;1;
5;18416;2018-03-14 00:00:00;352;;200;2223;A;1;
5;18417;2018-03-16 00:00:00;32;;200;2234;A;1;
5;18418;2018-03-20 00:00:00;1055;;200;2242;A;1;
5;18419;2018-03-16 00:00:00;611;;200;2233;A;1;
5;18421;2018-04-04 00:00:00;352;;200;2283;A;1;
5;18422;2018-04-06 00:00:00;2213;;200;2297;A;1;
5;18423;2018-04-06 00:00:00;2213;;200;2298;A;1;
5;18424;2018-04-06 00:00:00;2213;;200;2299;A;1;
5;18425;2018-04-10 00:00:00;352;;200;2314;A;1;
5;18426;2018-04-10 00:00:00;1055;;200;2312;A;1;
5;18427;2018-04-10 00:00:00;816;;200;2311;A;1;
5;18428;2018-04-18 00:00:00;48;;200;2349;A;1;
5;18429;2018-04-18 00:00:00;32;;200;2350;A;1;
5;18430;2018-04-18 00:00:00;277;;200;2351;A;1;
5;18431;2018-04-18 00:00:00;352;;200;2352;A;1;
5;18432;2018-04-18 00:00:00;2213;;200;2353;A;1;
5;18433;2018-04-24 00:00:00;816;;200;2370;A;1;
5;18434;2018-04-26 00:00:00;1055;;200;2385;A;1;
5;18435;2018-04-25 00:00:00;2213;;200;2378;A;1;
5;18436;2018-04-25 00:00:00;2213;;200;2379;A;1;
5;18437;2018-04-27 00:00:00;611;;200;2394;A;1;
5;18438;2018-04-27 00:00:00;48;;200;2393;A;1;
5;18439;2018-05-03 00:00:00;352;;200;2404;A;1;
5;18440;2018-05-03 00:00:00;1055;;200;2405;A;1;
5;18441;2018-05-10 00:00:00;32;;200;2429;A;1;
5;18442;2018-05-10 00:00:00;352;;200;2431;A;1;
5;18443;2018-05-10 00:00:00;816;;200;2430;A;1;
5;18444;2018-05-14 00:00:00;611;;200;2442;A;1;
5;18445;2018-05-22 00:00:00;48;;200;2472;A;1;
5;18446;2018-05-22 00:00:00;352;;200;2473;A;1;
5;18447;2018-05-22 00:00:00;611;;200;2474;A;1;
5;18448;2018-05-22 00:00:00;32;;200;2475;A;1;
5;18449;2018-05-31 00:00:00;1055;;200;2490;A;1;
5;18450;2018-05-31 00:00:00;816;;200;2491;A;1;
5;18451;2018-02-07 00:00:00;435;;100;2131;A;1;
5;18452;2018-02-08 00:00:00;406;;100;2136;A;1;
5;18453;2018-03-06 00:00:00;542;;100;2191;A;1;
5;18454;2018-03-13 00:00:00;542;;100;2215;A;1;
5;18456;2018-03-19 00:00:00;509;;100;2238;A;1;
5;18457;2018-03-20 00:00:00;433;;100;2245;A;1;
5;18458;2018-03-20 00:00:00;542;;100;2244;A;1;
5;18459;2018-03-28 00:00:00;433;;100;2272;A;1;
5;18460;2018-04-09 00:00:00;472;;100;2305;A;1;
5;18496;2018-05-31 00:00:00;618;;100;2493;A;1;
5;18537;2018-05-09 00:00:00;2020;;700;2425;A;1;
5;18544;2018-06-04 00:00:00;2020;;700;2501;A;1;
5;18547;2018-06-04 00:00:00;2020;;700;2500;A;1;
5;18551;2018-01-15 00:00:00;544;;300;2067;A;1;
5;18552;2018-01-15 00:00:00;2193;;600;2068;A;1;
5;18553;2018-01-16 00:00:00;2167;;700;2075;A;1;
5;18554;2018-01-16 00:00:00;2211;;600;2076;A;1;
5;18555;2018-01-17 00:00:00;472;;100;2077;A;1;
5;18556;2018-01-17 00:00:00;661;;100;2078;A;1;
5;18559;2018-01-18 00:00:00;2073;;400;2080;A;1;
5;18560;2018-01-18 00:00:00;1045;;400;2082;A;1;
5;18561;2018-01-18 00:00:00;2184;;400;2083;A;1;
5;18562;2018-01-18 00:00:00;345;;200;2084;A;1;
5;18563;2018-01-19 00:00:00;472;;100;2090;A;1;
5;18565;2018-01-22 00:00:00;2154;;400;2091;A;1;
5;18566;2018-01-23 00:00:00;635;;700;2092;A;1;
5;18567;2018-01-23 00:00:00;345;;200;2093;A;1;
5;18569;2018-01-23 00:00:00;406;;100;2094;A;1;
5;18570;2018-01-24 00:00:00;2184;;400;2095;A;1;
5;18571;2018-01-25 00:00:00;632;;100;2098;A;1;
5;18572;2018-01-25 00:00:00;544;;300;2099;A;1;
5;18573;2018-01-25 00:00:00;2078;;300;2100;A;1;
