NroPresu;FechaPresu;TotalPresu;SubTotalPresu;CodCliente;PorcentajeDesc;ImporteDesc;FormaPago;UnidadNegocio;CodVendedor;Anulado
14158;2018-02-26 00:00:00;3195.0;3195.0;430;25.0;;;;200;
14160;2018-02-26 00:00:00;1335.0;1335.0;430;25.0;;;;200;
14161;2016-11-03 00:00:00;187992.86;187992.86;210;20.0;;;;300;si
14163;2018-02-26 00:00:00;1597.5;1597.5;430;25.0;;;;200;
14165;2018-02-26 00:00:00;1597.5;1597.5;430;25.0;;;;200;
14170;2018-02-26 00:00:00;1597.5;1597.5;430;25.0;;;;200;
14178;2018-02-26 00:00:00;1597.5;1597.5;430;25.0;;;;200;
14181;2018-02-26 00:00:00;2516.25;2516.25;430;25.0;;;;200;
14184;2018-04-10 00:00:00;2767.5;2767.5;430;25.0;;;;200;si
14185;2018-04-10 00:00:00;2718.75;2718.75;430;25.0;;;;200;si
14189;2018-04-10 00:00:00;1758.75;1758.75;430;25.0;;;;200;
14192;2018-04-10 00:00:00;3195.0;3195.0;430;25.0;;;;200;
14195;2018-04-10 00:00:00;11385.0;11385.0;430;25.0;;;;200;
14204;2018-04-10 00:00:00;1758.75;1758.75;430;25.0;;;;200;
14217;2018-04-10 00:00:00;1758.75;1758.75;430;25.0;;;;200;
14222;2018-04-10 00:00:00;1758.75;1758.75;430;25.0;;;;200;
14223;2018-04-10 00:00:00;1470.0;1470.0;430;25.0;;;;200;
14232;2018-04-10 00:00:00;1758.75;1758.75;430;25.0;;;;200;
14233;2018-05-17 00:00:00;4091.25;4091.25;430;25.0;;;;200;
14235;2018-05-17 00:00:00;3517.5;3517.5;430;25.0;;;;200;
14240;2018-05-17 00:00:00;8182.5;8182.5;430;25.0;;;;200;
14246;2018-05-17 00:00:00;1758.75;1758.75;430;25.0;;;;200;
14249;2018-05-17 00:00:00;3517.5;3517.5;430;25.0;;;;200;
14251;2018-05-17 00:00:00;3517.5;3517.5;430;25.0;;;;200;
14256;2018-05-04 00:00:00;1876.0;1876.0;79;20.0;;;;300;
14266;2018-06-14 00:00:00;1616.25;1616.25;430;25.0;;;;200;
14267;2018-05-14 00:00:00;2900.0;2900.0;220;20.0;;;;300;
14278;2018-05-28 00:00:00;3517.5;3517.5;430;25.0;;;;200;
14283;2018-05-28 00:00:00;1616.25;1616.25;430;25.0;;;;200;
14291;2018-05-28 00:00:00;2250.0;2250.0;430;25.0;;;;200;
14293;2018-05-28 00:00:00;3045.0;3045.0;430;25.0;;;;200;
14303;2018-06-14 00:00:00;1935.0;1935.0;430;25.0;;;;200;
14317;2018-06-14 00:00:00;3830.0;3830.0;430;25.0;;;;200;
