NroFactura;TipoFactura;ItemFactura;IDCodProd;Cantidad;PrecioUnitario;PorcentajeDescuento;TotalLinea;UnidadMedida;ImporteDescuento
2128;A;1;110C;2;2772.72;30;3881.81;C/U;1663.63
2129;A;1;65;1;1471.07;20;1176.86;C/U;294.21
2130;A;1;65;1;1471.07;20;1176.86;C/U;294.21
2131;A;1;45FKA;2;1471.07;20;2353.71;C/U;588.43
2131;A;2;65;2;1471.07;20;2353.71;C/U;588.43
2132;A;1;110C;1;2772.72;20;2218.18;C/U;554.54
2133;A;1;75;2;1760.33;20;2816.53;C/U;704.13
2133;A;2;65;1;1471.07;20;1176.86;C/U;294.21
2134;A;1;180;10;3023.49;0;30234.9;C/U;0.0
2135;A;1;110C;4;2772.72;25;8318.16;C/U;2772.72
2135;A;2;90;1;2723.14;25;2042.36;C/U;680.79
2136;A;1;110C;2;2772.72;20;4436.35;C/U;1109.09
2137;A;1;80T;1;2045.45;25;1534.09;C/U;511.36
2138;A;1;45FKA;8;1158.0;0;9264.0;C/U;0.0
2138;A;2;45R12;2;1347.0;0;2694.0;C/U;0.0
2138;A;3;45FIT;2;1800.0;0;3600.0;C/U;0.0
2138;A;4;75I;5;1156.0;0;5780.0;C/U;0.0
2138;A;5;100SP;5;1956.0;0;9780.0;C/U;0.0
2138;A;6;110C;10;1956.0;0;19560.0;C/U;0.0
2138;A;7;120;4;2156.0;0;8624.0;C/U;0.0
2138;A;8;180I;5;2959.0;0;14795.0;C/U;0.0
2138;A;9;240;4;3762.0;0;15048.0;C/U;0.0
2138;A;10;75;50;1156.0;0;57800.0;C/U;0.0
2138;A;11;65;40;1017.0;0;40680.0;C/U;0.0
2138;A;12;180;5;2959.0;0;14795.0;C/U;0.0
2138;A;13;100;5;1956.0;0;9780.0;C/U;0.0
2139;A;1;65;1;1471.07;25;1103.3;C/U;367.77
2140;A;1;PLOMO;13683;36.0;0;492588.0;KG;0.0
2141;A;1;180;4;3011.51;0;12046.04;C/U;0.0
2141;A;2;110C;1;2772.72;20;2218.18;C/U;554.54
2142;A;1;180;15;3023.49;0;45352.35;C/U;0.0
2143;A;1;180;10;3000.81;0;30008.1;C/U;0.0
2144;A;1;180;2;4099.17;25;6148.76;C/U;2049.59
2145;A;1;110C;2;2772.72;20;4436.35;C/U;1109.09
2146;A;1;75;3;1760.33;25;3960.74;C/U;1320.25
2146;A;2;65;2;1471.07;25;2206.61;C/U;735.54
2146;A;3;180;10;4099.17;30;28694.19;C/U;12297.51
2147;A;1;75;14;1760.33;35;16019.0;C/U;8625.62
2147;A;2;65;11;1471.07;35;10518.15;C/U;5663.62
2147;A;3;45FKA;1;1471.07;35;956.2;C/U;514.87
2147;A;4;110C;2;2772.72;35;3604.54;C/U;1940.9
2147;A;5;100SP;1;2772.72;35;1802.27;C/U;970.45
2147;A;6;90;1;2723.14;35;1770.04;C/U;953.1
2147;A;7;180;2;4099.17;35;5328.92;C/U;2869.42
2149;A;1;75;1;1760.33;20;1408.26;C/U;352.07
2150;A;1;180;1;4099.17;25;3074.38;C/U;1024.79
2150;A;2;75;1;1760.33;25;1320.25;C/U;440.08
2151;A;1;180;1;3120.52;0;3120.52;C/U;0.0
2152;A;1;110C;2;2772.72;0;5545.44;C/U;0.0
